1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 18 500,2018  Kia Stinger,"44000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","19.11.2025 Հայաստան, Մաքսազերծված"
$ 23 000,2023  Toyota Corolla,"15000 կմ , GR sport, Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.11.2025 Հայաստան, Մաքսազերծված"
$ 30 000,2015  Toyota Prius,"190000 կմ , Հետչբեք, Հիբրիդ, Ավտոմատ, 5, 1, Ձախ, Կապույտ"
$ 10 900,2018  Jeep Cherokee,"100000 կմ , ABS, TRC, EBD, ESP, Մոնիտոր/TV, Բորտ-համակարգիչ, Հայելիների տաքացում","31.08.2025 Հայաստան, Մաքսազերծված"
$ 18 300,2022  Infiniti QX55,"18000 կմ , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
Պայմ.,1996  Mercedes-Benz C 180,"467271 կմ , Սեդան, Գազ, Մեխանիկական, Ձախ, Արծաթագույն","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,1998  Opel Astra,"349000 կմ , G, Հետչբեք, Բենզին, Մեխանիկական, Ձախ, Արծաթագույն, Սև","28.07.2025 Հայաստան, Մաքսազերծված"
$ 4 800,1999  Opel Zafira,"400000 կմ , Մինիվեն / Միկրոավտոբուս, Բենզին և գազ, Մեխանիկական, Ձախ, Սև, Կարմիր","30.12.2025 Հայաստան, Մաքսազերծված"
$ 3 900,2020  Jeep Cherokee,"100600 մղոն , Latitude plus, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","27.12.2025 Հայաստան, Մաքսազերծված"
$ 15 900,2021  Kia Forte,"100000 մղոն , 2.0 DOHC, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","30.12.2025 Հայաստան, Մաքսազերծված"
$ 13 000,2002  Toyota Vitz,"217000 կմ , Հետչբեք, Գազ, Ավտոմատ, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
$ 4 200,2006  Nissan Teana,"75000 կմ , Սեդան, Բենզին և գազ, Ավտոմատ, Ձախ, Արծաթագույն, Բեժ"
$ 6 100,2006  Mercedes-Benz SLK 350,"227000 կմ , Կաբրիոլետ / Ռոդսթեր, Բենզին, Ավտոմատ, Ձախ, Սև","30.12.2025 Հայաստան, Մաքսազերծված"
$ 11 500,2006  Kia Sorento,"174000 մղոն , Ամենագնաց, Բենզին և գազ, Ավտոմատ, Ձախ, Արծաթագույն, Մոխրագույն","22.06.2025 Հայաստան, Մաքսազերծված"
$ 7 000,2004  BMW X5,"385000 կմ , ABS, Հայելիների տաքացում, Էլեկտրակառավարվող հայելիներ, Անձրևի սենսոր, Լույսի սենսոր, Կենտրոնական փական, Ղեկի կարգավորում"
$ 8 800,2020  Dodge Journey,"120000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Սև, 2.4","30.12.2025 Հայաստան, Մաքսազերծված"
$ 11 500,2021  Tesla Model 3,"38000 կմ , RESTAYLING STANDARD PLUS, Հետչբեք, Էլեկտրական, Ավտոմատ, 56, Ձախ"
$ 17 000,2011  Kia Sorento,"159000 մղոն , 2.4, Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև","23.11.2025 Հայաստան, Մաքսազերծված"
$ 10 500,2019  Lexus LX 570,"82000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Շագանակագույն, 5.7","19.12.2025 Հայաստան, Մաքսազերծված"
$ 102 300,2021  BMW X5,"66000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","27.12.2025 Հայաստան, Մաքսազերծված"
