Price,Year,Make,Model,Mileage,Body style,Engine,Gearbox,Hand drive,Color,Custom cleared
7000,2021.0,Lexus,NX 300h,48660.00424,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
7400,2021.0,Honda,Accord,26059.0,Սեդան,Բենզին,0,1,Սև,2
7500,2022.0,Toyota,Rav 4,29219.17704,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
12800,2022.0,Mercedes-Benz,CLS 450,30715.86324,Սեդան,Բենզին,0,1,Սպիտակ,2
16500,2019.0,Hyundai,Kona,125718.42212,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4000,2021.0,Mercedes-Benz,E 350,138979.38372,Սեդան,Բենզին,0,1,Սև,2
20000,2019.0,Nissan,Sentra,33034.92218,Սեդան,Բենզին,0,1,Սպիտակ,2
2300,2019.0,Nissan,Sentra,69161.3865,Սեդան,Բենզին,0,1,Մոխրագույն,2
2100,2019.0,Chevrolet,Equinox,100512.93904,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
4000,2019.0,Nissan,Versa,114533.50912,Սեդան,Բենզին,0,1,Սպիտակ,2
2300,2019.0,Dodge,Challenger,99243.16978,Սեդան,Բենզին,0,1,Մոխրագույն,2
5300,2019.0,Subaru,Outback,142093.45662,Ամենագնաց,Բենզին,0,1,Սև,2
30000,2018.0,Dodge,Charger,98427.2344,Սեդան,Բենզին,0,1,Մոխրագույն,2
3500,2018.0,Dodge,Challenger,134981.78316,Սեդան,Բենզին,0,1,Սպիտակ,2
7000,2021.0,Tesla,Model Y,61938.66858,Ամենագնաց, Էլեկտրական,0,1,Սպիտակ,2
27000,2019.0,Nissan,Versa,40830.56514,Սեդան,Բենզին,0,1,Մոխրագույն,2
2300,2020.0,Toyota,Highlander,110265.53944,Ամենագնաց,Բենզին,0,1,Կապույտ,2
2500,2019.0,Lexus,IS 300,98953.48858,Սեդան,Բենզին,0,1,Սև,2
9500,2019.0,Hyundai,Tucson,85853.46098,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
5000,2019.0,Lexus,ES 350,136484.90672,Սեդան,Բենզին,0,1,Սպիտակ,2
11000,2025.0,Mercedes-Benz,GLS 600 Maybach,50.0,Ամենագնաց,Բենզին,0,1,Սև,2
3000,2018.0,Lexus,GX 460,120578.19016,Ամենագնաց,Բենզին,0,1,Սև,2
17000,2022.0,Toyota,Rav 4,83077.34948,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
12800,2020.0,Toyota,Rav 4,116590.24564,Ամենագնաց,Բենզին,0,1,Կարմիր,2
9700,2022.0,Toyota,Rav 4,67738.72994,Ամենագնաց,Բենզին,0,1,Սև,2
13000,2019.0,Toyota,C-HR,48997.96564,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
5200,2021.0,Toyota,C-HR,16.0934,Ամենագնաց,Բենզին,0,1,Սև,2
8000,2018.0,Toyota,C-HR,127715.61306,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4500,2020.0,Toyota,C-HR,106618.775,Ամենագնաց,Բենզին,0,1,Սև,2
6900,2020.0,Toyota,C-HR,83577.85422,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
7000,2018.0,Subaru,Forester,127551.46038,Ամենագնաց,Բենզին,0,1,Կապույտ,2
14300,2021.0,Nissan,Versa,70810.96,Սեդան,Բենզին և գազ,0,1,Մոխրագույն,1
12300,2020.0,Jeep,Wrangler,112000.0,Ունիվերսալ,Բենզին,0,1,Սպիտակ,1
6700,2008.0,Mercedes-Benz,G 500,1111.0,Ամենագնաց,Բենզին,0,1,Սև,1
26000,2007.0,Mercedes-Benz,G 500,235000.0,Ամենագնաց,Գազ,0,1,Սև,1
44000,2017.0,Chevrolet,Malibu,195000.0,Սեդան,Բենզին,0,1,Սպիտակ,1
17000,2021.0,VAZ,(Lada) NIVA Legend,70000.0,Ամենագնաց,Գազ,1,1,Սպիտակ,1
52000,2021.0,BMW,M5,61154.92,Սեդան,Բենզին,0,1,Այլ գույն,1
75000,2013.0,Chevrolet,Volt,160000.0,Սեդան,Բենզին,0,1,Բալագույն,1
7300,2016.0,Chrysler,200,201167.5,Սեդան,Բենզին,0,1,Մոխրագույն,1
16000,2020.0,Hyundai,Elantra,95907.00796,Սեդան,Բենզին,0,1,Սև,2
3800,2021.0,Toyota,Tundra,83278.51698,Պիկապ,Բենզին,0,1,Սև,2
18000,2021.0,Tesla,Model 3,36392.00542,Սեդան, Էլեկտրական,0,1,Սև,2
114000,2021.0,Dodge,Charger,120874.30872,Սեդան,Բենզին,0,1,Մոխրագույն,2
6200,2020.0,Subaru,Legacy,87190.82252,Սեդան,Բենզին,0,1,Սպիտակ,2
3000,2020.0,Subaru,Legacy,121711.16552,Սեդան,Բենզին,0,1,Սպիտակ,2
3100,2020.0,Chevrolet,Malibu,42124.4745,Սեդան,Բենզին,0,1,Սպիտակ,2
115600,2019.0,Chevrolet,Cruze,101501.0738,Սեդան,Բենզին,0,1,Սև,2
2500,2020.0,Toyota,Corolla,52009.04078,Սեդան,Բենզին,0,1,Սև,2
5400,2021.0,Toyota,Camry,129716.02268,Սեդան,Բենզին,0,1,Արծաթագույն,2
11200,2019.0,Kia,Forte,97151.02778,Սեդան,Բենզին,0,1,Սև,2
3400,2019.0,Kia,Forte,126626.08988,Սեդան,Բենզին,0,1,Սպիտակ,2
3500,2023.0,Hyundai,Sonata,27452.12172,Սեդան,Բենզին,0,1,Սև,2
7000,2022.0,Hyundai,Sonata,71662.30086,Սեդան,Բենզին,0,1,Սպիտակ,2
18900,2018.0,BMW,750,204386.18,Սեդան,Բենզին,0,1,Կապույտ,1
33800,2022.0,Mazda,CX5,30577.46,Ամենագնաց,Բենզին,0,1,Սպիտակ,1
